id,is_ai,generator,category,score
ai_art_qwen_2512_art_08.png,true,Qwen 2512,art,0.9999872446060181
ai_art_flux_2_flex_art_03.png,true,Flux,art,0.9999860525131226
ai_art_seedream_v3_art_07.png,true,Seedream,art,0.9999909400939941
ai_art_seedream_v3_art_06.png,true,Seedream,art,0.999946117401123
ai_art_flux_2_flex_art_02.png,true,Flux,art,0.9977434873580933
ai_art_glm_image_art_01.png,true,GLM Image,art,0.003437332808971405
ai_art_qwen_2512_art_09.png,true,Qwen 2512,art,0.9998953342437744
ai_art_wan_v2.6_art_09.png,true,Wan v2.6,art,0.0008014258346520364
ai_art_flux_schnell_art_08.png,true,Flux Schnell,art,0.9992126226425171
ai_art_glm_image_art_03.png,true,GLM Image,art,0.9999876022338867
ai_art_seedream_v3_art_10.png,true,Seedream,art,0.013426320627331734
ai_art_seedream_v3_art_04.png,true,Seedream,art,9.969227539841086e-05
ai_art_seedream_v3_art_05.png,true,Seedream,art,0.00014353716687764972
ai_art_flux_2_flex_art_01.png,true,Flux,art,0.9749463200569153
ai_art_glm_image_art_02.png,true,GLM Image,art,0.9999923706054688
ai_art_flux_schnell_art_09.png,true,Flux Schnell,art,0.7656817436218262
ai_art_wan_v2.6_art_08.png,true,Wan v2.6,art,0.8499232530593872
ai_art_z_image_art_09.png,true,Z,art,0.03589768707752228
ai_art_glm_image_art_06.png,true,GLM Image,art,0.9999970197677612
ai_art_flux_2_flex_art_05.png,true,Flux,art,0.013071762397885323
ai_art_seedream_v3_art_01.png,true,Seedream,art,0.011468092910945415
ai_art_flux_2_flex_art_10.png,true,Flux,art,0.9999979734420776
ai_art_flux_2_flex_art_04.png,true,Flux,art,3.19069622491952e-05
ai_art_glm_image_art_07.png,true,GLM Image,art,0.999998927116394
ai_art_z_image_art_08.png,true,Z,art,0.9986788630485535
ai_art_glm_image_art_05.png,true,GLM Image,art,2.648503505042754e-05
ai_art_flux_2_flex_art_06.png,true,Flux,art,0.9999973773956299
ai_art_seedream_v3_art_02.png,true,Seedream,art,0.9856891632080078
ai_art_seedream_v3_art_03.png,true,Seedream,art,0.00014923568232916296
ai_art_flux_2_flex_art_07.png,true,Flux,art,0.999998927116394
ai_art_glm_image_art_10.png,true,GLM Image,art,0.9938661456108093
ai_art_glm_image_art_04.png,true,GLM Image,art,0.951094388961792
ai_art_hunyuan_v3_art_07.png,true,Hunyuan v3,art,0.823138952255249
ai_art_ideogram_v3_art_04.png,true,Ideogram v3,art,2.979797136504203e-05
ai_art_ideogram_v3_art_10.png,true,Ideogram v3,art,0.4749683439731598
ai_art_sd_3.5_large_art_08.png,true,Sd,art,0.9992856383323669
ai_art_seedream_v4_art_03.png,true,Seedream,art,5.852458707522601e-05
ai_art_leonardo_phoenix_art_06.png,true,Leonardo Phoenix,art,0.3533470630645752
ai_art_leonardo_phoenix_art_07.png,true,Leonardo Phoenix,art,0.9998700618743896
ai_art_grok_aurora_art_01.png,true,Grok Aurora,art,0.9993236064910889
ai_art_seedream_v4_art_02.png,true,Seedream,art,0.0004706790205091238
ai_art_sd_3.5_large_art_09.png,true,Sd,art,6.284632490860531e-06
ai_art_ideogram_v3_art_05.png,true,Ideogram v3,art,0.9988667964935303
ai_art_hunyuan_v3_art_06.png,true,Hunyuan v3,art,0.9989842772483826
ai_art_hunyuan_v3_art_04.png,true,Hunyuan v3,art,0.0007784504559822381
ai_art_hunyuan_v3_art_10.png,true,Hunyuan v3,art,0.9252496957778931
ai_art_recraft_v3_art_09.png,true,Recraft v3,art,0.9711918234825134
ai_art_ideogram_v3_art_07.png,true,Ideogram v3,art,0.0034968589898198843
ai_art_grok_aurora_art_03.png,true,Grok Aurora,art,0.999659538269043
ai_art_leonardo_phoenix_art_05.png,true,Leonardo Phoenix,art,0.2854548990726471
ai_art_leonardo_phoenix_art_10.png,true,Leonardo Phoenix,art,0.9998672008514404
ai_art_leonardo_phoenix_art_04.png,true,Leonardo Phoenix,art,0.002293755766004324
ai_art_grok_aurora_art_02.png,true,Grok Aurora,art,0.9998444318771362
ai_art_seedream_v4_art_01.png,true,Seedream,art,0.03970341011881828
ai_art_ideogram_v3_art_06.png,true,Ideogram v3,art,0.9192743301391602
ai_art_recraft_v3_art_08.png,true,Recraft v3,art,0.14292410016059875
ai_art_hunyuan_v3_art_05.png,true,Hunyuan v3,art,0.8202926516532898
ai_art_hunyuan_v3_art_01.png,true,Hunyuan v3,art,0.0034877373836934566
ai_art_ideogram_v3_art_02.png,true,Ideogram v3,art,0.1856466680765152
ai_art_flux_pro_v1.1_art_09.png,true,Flux Pro v1.1,art,0.0005416764179244637
ai_art_seedream_v4_art_05.png,true,Seedream,art,5.587479972746223e-05
ai_art_grok_aurora_art_06.png,true,Grok Aurora,art,0.9999731779098511
ai_art_grok_aurora_art_07.png,true,Grok Aurora,art,0.9038109183311462
ai_art_leonardo_phoenix_art_01.png,true,Leonardo Phoenix,art,0.03280094638466835
ai_art_seedream_v4_art_04.png,true,Seedream,art,0.00011969977640546858
ai_art_seedream_v4_art_10.png,true,Seedream,art,0.0003361663839314133
ai_art_flux_pro_v1.1_art_08.png,true,Flux Pro v1.1,art,0.9993793964385986
ai_art_ideogram_v3_art_03.png,true,Ideogram v3,art,0.6613133549690247
ai_art_hunyuan_v3_art_02.png,true,Hunyuan v3,art,0.0031150663271546364
ai_art_gpt_image_1.5_art_08.png,true,Gpt,art,0.9893298745155334
ai_art_ideogram_v3_art_01.png,true,Ideogram v3,art,0.013127978891134262
ai_art_gemini_3_pro_art_09.png,true,Gemini 3 Pro,art,0.006555079482495785
ai_art_seedream_v4_art_06.png,true,Seedream,art,0.9134959578514099
ai_art_leonardo_phoenix_art_03.png,true,Leonardo Phoenix,art,0.9455912709236145
ai_art_grok_aurora_art_05.png,true,Grok Aurora,art,0.31138676404953003
