id,is_ai,generator,category,score
ai_art_qwen_2512_art_08.png,true,Qwen 2512,art,0.9999972581863403
ai_art_flux_2_flex_art_03.png,true,Flux,art,0.9999880790710449
ai_art_seedream_v3_art_07.png,true,Seedream,art,0.9999161958694458
ai_art_seedream_v3_art_06.png,true,Seedream,art,0.999788224697113
ai_art_flux_2_flex_art_02.png,true,Flux,art,0.7789165377616882
ai_art_glm_image_art_01.png,true,GLM Image,art,0.009339053183794022
ai_art_qwen_2512_art_09.png,true,Qwen 2512,art,0.9938659071922302
ai_art_wan_v2.6_art_09.png,true,Wan v2.6,art,0.0007241612183861434
ai_art_flux_schnell_art_08.png,true,Flux Schnell,art,0.999738872051239
ai_art_glm_image_art_03.png,true,GLM Image,art,0.28778019547462463
ai_art_seedream_v3_art_10.png,true,Seedream,art,0.1681613326072693
ai_art_seedream_v3_art_04.png,true,Seedream,art,0.03469404950737953
ai_art_seedream_v3_art_05.png,true,Seedream,art,1.2677003724093083e-05
ai_art_flux_2_flex_art_01.png,true,Flux,art,0.948419988155365
ai_art_glm_image_art_02.png,true,GLM Image,art,0.9999706745147705
ai_art_flux_schnell_art_09.png,true,Flux Schnell,art,0.010990087874233723
ai_art_wan_v2.6_art_08.png,true,Wan v2.6,art,0.9998767375946045
ai_art_z_image_art_09.png,true,Z,art,0.9992877840995789
ai_art_glm_image_art_06.png,true,GLM Image,art,0.9999028444290161
ai_art_flux_2_flex_art_05.png,true,Flux,art,2.9279747195687378e-06
ai_art_seedream_v3_art_01.png,true,Seedream,art,0.08048240840435028
ai_art_flux_2_flex_art_10.png,true,Flux,art,0.9998214840888977
ai_art_flux_2_flex_art_04.png,true,Flux,art,0.7920225858688354
ai_art_glm_image_art_07.png,true,GLM Image,art,0.9993178844451904
ai_art_z_image_art_08.png,true,Z,art,0.9999089241027832
ai_art_glm_image_art_05.png,true,GLM Image,art,9.268518624594435e-06
ai_art_flux_2_flex_art_06.png,true,Flux,art,0.9921257495880127
ai_art_seedream_v3_art_02.png,true,Seedream,art,0.9991908669471741
ai_art_seedream_v3_art_03.png,true,Seedream,art,0.005245910957455635
ai_art_flux_2_flex_art_07.png,true,Flux,art,0.9618563652038574
ai_art_glm_image_art_10.png,true,GLM Image,art,0.9360554814338684
ai_art_glm_image_art_04.png,true,GLM Image,art,0.8323615789413452
ai_art_hunyuan_v3_art_07.png,true,Hunyuan v3,art,0.0019952235743403435
ai_art_ideogram_v3_art_04.png,true,Ideogram v3,art,7.314078538911417e-05
ai_art_ideogram_v3_art_10.png,true,Ideogram v3,art,0.19198650121688843
ai_art_sd_3.5_large_art_08.png,true,Sd,art,0.9991463422775269
ai_art_seedream_v4_art_03.png,true,Seedream,art,5.673900886904448e-05
ai_art_leonardo_phoenix_art_06.png,true,Leonardo Phoenix,art,0.012012074701488018
ai_art_leonardo_phoenix_art_07.png,true,Leonardo Phoenix,art,0.9996726512908936
ai_art_grok_aurora_art_01.png,true,Grok Aurora,art,0.9990562796592712
ai_art_seedream_v4_art_02.png,true,Seedream,art,0.00043075004941783845
ai_art_sd_3.5_large_art_09.png,true,Sd,art,0.0010348777286708355
ai_art_ideogram_v3_art_05.png,true,Ideogram v3,art,0.3946789801120758
ai_art_hunyuan_v3_art_06.png,true,Hunyuan v3,art,0.3917410373687744
ai_art_hunyuan_v3_art_04.png,true,Hunyuan v3,art,0.021448856219649315
ai_art_hunyuan_v3_art_10.png,true,Hunyuan v3,art,0.008874356746673584
ai_art_recraft_v3_art_09.png,true,Recraft v3,art,0.6956045031547546
ai_art_ideogram_v3_art_07.png,true,Ideogram v3,art,0.002438168041408062
ai_art_grok_aurora_art_03.png,true,Grok Aurora,art,0.2764243483543396
ai_art_leonardo_phoenix_art_05.png,true,Leonardo Phoenix,art,0.989632248878479
ai_art_leonardo_phoenix_art_10.png,true,Leonardo Phoenix,art,0.9999819993972778
ai_art_leonardo_phoenix_art_04.png,true,Leonardo Phoenix,art,0.4584006071090698
ai_art_grok_aurora_art_02.png,true,Grok Aurora,art,0.812084972858429
ai_art_seedream_v4_art_01.png,true,Seedream,art,0.08198028802871704
ai_art_ideogram_v3_art_06.png,true,Ideogram v3,art,0.003614197950810194
ai_art_recraft_v3_art_08.png,true,Recraft v3,art,0.29666632413864136
ai_art_hunyuan_v3_art_05.png,true,Hunyuan v3,art,0.0002200326562160626
ai_art_hunyuan_v3_art_01.png,true,Hunyuan v3,art,0.0005832393071614206
ai_art_ideogram_v3_art_02.png,true,Ideogram v3,art,3.5682478483067825e-05
ai_art_flux_pro_v1.1_art_09.png,true,Flux Pro v1.1,art,0.8864247798919678
ai_art_seedream_v4_art_05.png,true,Seedream,art,6.874446626170538e-06
ai_art_grok_aurora_art_06.png,true,Grok Aurora,art,0.9984810948371887
ai_art_grok_aurora_art_07.png,true,Grok Aurora,art,0.8656981587409973
ai_art_leonardo_phoenix_art_01.png,true,Leonardo Phoenix,art,0.0021098123397678137
ai_art_seedream_v4_art_04.png,true,Seedream,art,0.00019387900829315186
ai_art_seedream_v4_art_10.png,true,Seedream,art,0.00015303105465136468
ai_art_flux_pro_v1.1_art_08.png,true,Flux Pro v1.1,art,0.9999717473983765
ai_art_ideogram_v3_art_03.png,true,Ideogram v3,art,0.09119030088186264
ai_art_hunyuan_v3_art_02.png,true,Hunyuan v3,art,0.0003647690755315125
ai_art_gpt_image_1.5_art_08.png,true,Gpt,art,0.978165328502655
ai_art_ideogram_v3_art_01.png,true,Ideogram v3,art,0.0896264836192131
ai_art_gemini_3_pro_art_09.png,true,Gemini 3 Pro,art,0.18881933391094208
ai_art_seedream_v4_art_06.png,true,Seedream,art,0.008190125226974487
ai_art_leonardo_phoenix_art_03.png,true,Leonardo Phoenix,art,0.9960359930992126
ai_art_grok_aurora_art_05.png,true,Grok Aurora,art,0.6066665649414062
ai_art_grok_aurora_art_10.png,true,Grok Aurora,art,0.028164850547909737
ai_art_grok_aurora_art_04.png,true,Grok Aurora,art,0.41356024146080017
ai_art_leonardo_phoenix_art_02.png,true,Leonardo Phoenix,art,0.75388103723526
ai_art_seedream_v4_art_07.png,true,Seedream,art,0.0005240291357040405
ai_art_gemini_3_pro_art_08.png,true,Gemini 3 Pro,art,0.9983545541763306
ai_art_gpt_image_1.5_art_09.png,true,Gpt,art,8.943610737333074e-05
ai_art_hunyuan_v3_art_03.png,true,Hunyuan v3,art,0.007480722386389971
ai_art_gpt_image_1.5_art_10.png,true,Gpt,art,0.002561762696132064
ai_art_recraft_v3_art_03.png,true,Recraft v3,art,0.9923921823501587
ai_art_gpt_image_1.5_art_04.png,true,Gpt,art,0.0030620612669736147
ai_art_sd_3.5_large_art_01.png,true,Sd,art,0.08122218400239944
ai_art_gemini_3_pro_art_05.png,true,Gemini 3 Pro,art,8.4105042333249e-05
ai_art_flux_pro_v1.1_art_06.png,true,Flux Pro v1.1,art,0.46922191977500916
ai_art_grok_aurora_art_09.png,true,Grok Aurora,art,0.001781053259037435
ai_art_grok_aurora_art_08.png,true,Grok Aurora,art,0.9986225366592407
ai_art_flux_pro_v1.1_art_07.png,true,Flux Pro v1.1,art,0.010322967544198036
ai_art_gemini_3_pro_art_10.png,true,Gemini 3 Pro,art,0.9852590560913086
ai_art_gemini_3_pro_art_04.png,true,Gemini 3 Pro,art,0.0225421991199255
ai_art_gpt_image_1.5_art_05.png,true,Gpt,art,5.22100344824139e-05
ai_art_recraft_v3_art_02.png,true,Recraft v3,art,0.8647501468658447
ai_art_gpt_image_1.5_art_07.png,true,Gpt,art,0.02670506201684475
ai_art_gemini_3_pro_art_06.png,true,Gemini 3 Pro,art,0.9993491768836975
ai_art_sd_3.5_large_art_02.png,true,Sd,art,0.9969257712364197
ai_art_flux_pro_v1.1_art_05.png,true,Flux Pro v1.1,art,0.00022563952370546758
ai_art_seedream_v4_art_09.png,true,Seedream,art,0.002373058581724763
ai_art_seedream_v4_art_08.png,true,Seedream,art,0.0065290252678096294
ai_art_flux_pro_v1.1_art_10.png,true,Flux Pro v1.1,art,0.499483585357666
ai_art_flux_pro_v1.1_art_04.png,true,Flux Pro v1.1,art,0.7165006399154663
ai_art_gemini_3_pro_art_07.png,true,Gemini 3 Pro,art,0.002710220403969288
ai_art_sd_3.5_large_art_03.png,true,Sd,art,0.1377515196800232
ai_art_recraft_v3_art_01.png,true,Recraft v3,art,0.0009009101195260882
ai_art_gpt_image_1.5_art_06.png,true,Gpt,art,0.654590904712677
ai_art_hunyuan_v3_art_08.png,true,Hunyuan v3,art,0.11856094747781754
ai_art_gpt_image_1.5_art_02.png,true,Gpt,art,0.8098902702331543
ai_art_recraft_v3_art_05.png,true,Recraft v3,art,2.7660482828650856e-06
ai_art_sd_3.5_large_art_07.png,true,Sd,art,0.9999983310699463
ai_art_gemini_3_pro_art_03.png,true,Gemini 3 Pro,art,0.9932190775871277
ai_art_leonardo_phoenix_art_09.png,true,Leonardo Phoenix,art,0.969986617565155
ai_art_leonardo_phoenix_art_08.png,true,Leonardo Phoenix,art,0.9982616305351257
ai_art_flux_pro_v1.1_art_01.png,true,Flux Pro v1.1,art,0.37306880950927734
ai_art_sd_3.5_large_art_06.png,true,Sd,art,0.8883296847343445
ai_art_gemini_3_pro_art_02.png,true,Gemini 3 Pro,art,0.9543344974517822
ai_art_recraft_v3_art_10.png,true,Recraft v3,art,0.00377957453019917
ai_art_recraft_v3_art_04.png,true,Recraft v3,art,0.001028211903758347
ai_art_gpt_image_1.5_art_03.png,true,Gpt,art,0.03142119571566582
ai_art_hunyuan_v3_art_09.png,true,Hunyuan v3,art,0.005688447039574385
ai_art_recraft_v3_art_06.png,true,Recraft v3,art,0.2165903002023697
