id,is_ai,generator,category,score
ai_art_qwen_2512_art_08.png,true,Qwen 2512,art,0.9999672174453735
ai_art_flux_2_flex_art_03.png,true,Flux,art,0.9998593330383301
ai_art_seedream_v3_art_07.png,true,Seedream,art,0.9999486207962036
ai_art_seedream_v3_art_06.png,true,Seedream,art,0.9999943971633911
ai_art_flux_2_flex_art_02.png,true,Flux,art,0.9924938678741455
ai_art_glm_image_art_01.png,true,GLM Image,art,0.9242247939109802
ai_art_qwen_2512_art_09.png,true,Qwen 2512,art,0.9999570846557617
ai_art_wan_v2.6_art_09.png,true,Wan v2.6,art,0.0011521050473675132
ai_art_flux_schnell_art_08.png,true,Flux Schnell,art,0.9831019043922424
ai_art_glm_image_art_03.png,true,GLM Image,art,0.9922194480895996
ai_art_seedream_v3_art_10.png,true,Seedream,art,0.998702883720398
ai_art_seedream_v3_art_04.png,true,Seedream,art,0.10687141865491867
ai_art_seedream_v3_art_05.png,true,Seedream,art,0.013649007305502892
ai_art_flux_2_flex_art_01.png,true,Flux,art,0.9999805688858032
ai_art_glm_image_art_02.png,true,GLM Image,art,0.9999921321868896
ai_art_flux_schnell_art_09.png,true,Flux Schnell,art,0.9949325919151306
ai_art_wan_v2.6_art_08.png,true,Wan v2.6,art,0.7948722243309021
ai_art_z_image_art_09.png,true,Z,art,0.9999932050704956
ai_art_glm_image_art_06.png,true,GLM Image,art,0.9999966621398926
ai_art_flux_2_flex_art_05.png,true,Flux,art,0.053954705595970154
ai_art_seedream_v3_art_01.png,true,Seedream,art,0.7825018763542175
ai_art_flux_2_flex_art_10.png,true,Flux,art,0.999998927116394
ai_art_flux_2_flex_art_04.png,true,Flux,art,0.9590076804161072
ai_art_glm_image_art_07.png,true,GLM Image,art,0.9999507665634155
ai_art_z_image_art_08.png,true,Z,art,0.999727189540863
ai_art_glm_image_art_05.png,true,GLM Image,art,0.0005190118681639433
ai_art_flux_2_flex_art_06.png,true,Flux,art,0.9999914169311523
ai_art_seedream_v3_art_02.png,true,Seedream,art,0.999895453453064
ai_art_seedream_v3_art_03.png,true,Seedream,art,0.5247992873191833
ai_art_flux_2_flex_art_07.png,true,Flux,art,0.997225284576416
ai_art_glm_image_art_10.png,true,GLM Image,art,0.999937891960144
ai_art_glm_image_art_04.png,true,GLM Image,art,0.999180018901825
ai_art_hunyuan_v3_art_07.png,true,Hunyuan v3,art,0.3666173815727234
ai_art_ideogram_v3_art_04.png,true,Ideogram v3,art,0.011645730584859848
ai_art_ideogram_v3_art_10.png,true,Ideogram v3,art,0.6861786246299744
ai_art_sd_3.5_large_art_08.png,true,Sd,art,0.9999312162399292
ai_art_seedream_v4_art_03.png,true,Seedream,art,0.0047966670244932175
ai_art_leonardo_phoenix_art_06.png,true,Leonardo Phoenix,art,0.9987120628356934
ai_art_leonardo_phoenix_art_07.png,true,Leonardo Phoenix,art,0.9994463324546814
ai_art_grok_aurora_art_01.png,true,Grok Aurora,art,0.9998847246170044
ai_art_seedream_v4_art_02.png,true,Seedream,art,0.0033630547113716602
ai_art_sd_3.5_large_art_09.png,true,Sd,art,0.3173823058605194
ai_art_ideogram_v3_art_05.png,true,Ideogram v3,art,0.9956449270248413
ai_art_hunyuan_v3_art_06.png,true,Hunyuan v3,art,0.9999781847000122
ai_art_hunyuan_v3_art_04.png,true,Hunyuan v3,art,0.9263816475868225
ai_art_hunyuan_v3_art_10.png,true,Hunyuan v3,art,0.9996739625930786
ai_art_recraft_v3_art_09.png,true,Recraft v3,art,0.9998281002044678
ai_art_ideogram_v3_art_07.png,true,Ideogram v3,art,0.023156646639108658
ai_art_grok_aurora_art_03.png,true,Grok Aurora,art,0.9999971389770508
ai_art_leonardo_phoenix_art_05.png,true,Leonardo Phoenix,art,0.9996117949485779
ai_art_leonardo_phoenix_art_10.png,true,Leonardo Phoenix,art,0.9999953508377075
ai_art_leonardo_phoenix_art_04.png,true,Leonardo Phoenix,art,0.9961367249488831
ai_art_grok_aurora_art_02.png,true,Grok Aurora,art,0.997819185256958
ai_art_seedream_v4_art_01.png,true,Seedream,art,0.5264787673950195
ai_art_ideogram_v3_art_06.png,true,Ideogram v3,art,0.9966333508491516
ai_art_recraft_v3_art_08.png,true,Recraft v3,art,0.955414354801178
ai_art_hunyuan_v3_art_05.png,true,Hunyuan v3,art,0.9288927316665649
ai_art_hunyuan_v3_art_01.png,true,Hunyuan v3,art,0.6041883230209351
ai_art_ideogram_v3_art_02.png,true,Ideogram v3,art,0.011180671863257885
ai_art_flux_pro_v1.1_art_09.png,true,Flux Pro v1.1,art,0.998670220375061
ai_art_seedream_v4_art_05.png,true,Seedream,art,0.02754989266395569
ai_art_grok_aurora_art_06.png,true,Grok Aurora,art,0.9999932050704956
ai_art_grok_aurora_art_07.png,true,Grok Aurora,art,0.14951065182685852
ai_art_leonardo_phoenix_art_01.png,true,Leonardo Phoenix,art,0.3136346638202667
ai_art_seedream_v4_art_04.png,true,Seedream,art,0.0020548482425510883
ai_art_seedream_v4_art_10.png,true,Seedream,art,0.02571761980652809
ai_art_flux_pro_v1.1_art_08.png,true,Flux Pro v1.1,art,0.9999443292617798
ai_art_ideogram_v3_art_03.png,true,Ideogram v3,art,0.8486589193344116
ai_art_hunyuan_v3_art_02.png,true,Hunyuan v3,art,0.025530098006129265
